created_at,id,text,mentions,hashtags,screen_name,name,user_location,user_friends_count,user_followers_count,user_tweet_count,lat,lon,place_name
Sat Apr 21 20:24:03 +0000 2018,987789078937686017,@Ronald_MacKay @Tigo_GT No hay tiempo que perder con la #MegaFeriaTIGO 🙏🏽💙 quiero ganarme el #SamsungS9,"[u'Ronald_MacKay', u'Tigo_GT']","[u'MegaFeriaTIGO', u'SamsungS9']",Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,941,,,
Sat Apr 21 20:24:31 +0000 2018,987789197187563520,"RT @Samsung: If you are in any of these cities 📷 #GalaxyS9
https://t.co/4Gr1VYTo3R",[u'Samsung'],[u'GalaxyS9'],VirtualFrankie,Virtual Frankenstein 👽,"Los Angeles, CA",5000,4113,79310,,,
Sat Apr 21 20:25:23 +0000 2018,987789414297493505,"RT @SamsungChile: ¡La #MisiónEmoji ya está aquí! Para superar el primer desafío, solo debes adivinar a qué personaje de la serie del moment…",[u'SamsungChile'],[u'Misi\xf3nEmoji'],Pupyfrut,susana,,120,69,195,,,
Sat Apr 21 20:25:43 +0000 2018,987789498590400514,"@SamsungChile Lo deseooo  ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10252,,,
Sat Apr 21 20:26:16 +0000 2018,987789639510642688,"RT @SamsungMobileCO: Si pudieras tener el nuevo Samsung #GalaxyS9, ¿con qué color te quedarías? ¡Cuéntanos! #CamaraReimaginada https://t.co…",[u'SamsungMobileCO'],"[u'GalaxyS9', u'CamaraReimaginada']",BeltranAndres88,Andres Beltran,Bogotá,529,153,7144,,,
Sat Apr 21 20:27:18 +0000 2018,987789896520790017,Hot from the oven! IN FOCUS: The #SAMSUNG Galaxy S9 and S9+’s Super-Slow Mo https://t.co/mElcUWya1W #galaxys9,,"[u'SAMSUNG', u'galaxys9']",bourngenius,Ronj,Pinas,333,199,3881,,,
Sat Apr 21 20:27:34 +0000 2018,987789964489428992,@Ronald_MacKay @Tigo_GT Este año ha sido complicado y un #SamsungS9 me serviría mucho porque mi celular ya no así q… https://t.co/BauKCjqq2g,"[u'Ronald_MacKay', u'Tigo_GT']",[u'SamsungS9'],Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,943,,,
Sat Apr 21 20:27:48 +0000 2018,987790021439746049,RT @DonovanGoliath: Sooooo I’m giving away a @SamsungMobileSA #GalaxyS9 PLUS next week Friday but you’re gonna have to work for it. Watch t…,"[u'DonovanGoliath', u'SamsungMobileSA']",[u'GalaxyS9'],SneTembaM,SneTembaM,Republic of Mozambique,514,128,429,,,
Sat Apr 21 20:27:48 +0000 2018,987790022060408834,Avond op de scouting #kralingschetroep #nieuwetelefoon #samsungs9 @ Scoutinggroep De… https://t.co/TrnDnSgtML,,"[u'kralingschetroep', u'nieuwetelefoon', u'samsungs9']",afmeuwsen,Annemarie Meuwsen,Rotterdam,185,80,3052,51.92657,4.54046,"Rotterdam, Nederland"
Sat Apr 21 20:30:59 +0000 2018,987790825382928385,An #emoji or a #GIF is worth a thousand words #GalaxyS9 https://t.co/J8Ss8WV5mH …,,"[u'emoji', u'GIF', u'GalaxyS9']",a1globaldata,Alliance Telecom,"Las Vegas, NV",133,30,653,,,
Sat Apr 21 20:32:10 +0000 2018,987791122327064577,"RT @juventusfc: Nuovi arrivi a Vinovo per Mr @OfficialAllegri . Giorgio @chiellini , @andreabarzagli2 , @MedhiBenatia e @13Szczesny13 ci pr…","[u'juventusfc', u'OfficialAllegri', u'chiellini', u'andreabarzagli2', u'MedhiBenatia', u'13Szczesny13']",,juventino778,GOBBO NEL DNA,"Torino, Piemonte",886,255,15619,,,
Sat Apr 21 20:33:07 +0000 2018,987791359515025409,@Ronald_MacKay @Tigo_GT De verdad me gustaría mucho tener un celular tan bueno y qué mejor si es de @Tigo_GT y de s… https://t.co/YAYLWAcfMT,"[u'Ronald_MacKay', u'Tigo_GT', u'Tigo_GT']",,Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,945,,,
Sat Apr 21 20:33:58 +0000 2018,987791575861350406,"RT @SamsungChile: ¡La #MisiónEmoji ya está aquí! Para superar el primer desafío, solo debes adivinar a qué personaje de la serie del moment…",[u'SamsungChile'],[u'Misi\xf3nEmoji'],moliwan,"Molina, Diego","Santiago, Chile",708,387,15193,,,
Sat Apr 21 20:34:18 +0000 2018,987791660917624832,@Ronald_MacKay @Tigo_GT Quiero ser el ganador!! @Tigo_GT Y @Ronald_MacKay REGALAN UN #samsungs9  Y YO LO QUIERO!!… https://t.co/KlxG6cFzEI,"[u'Ronald_MacKay', u'Tigo_GT', u'Tigo_GT', u'Ronald_MacKay']",[u'samsungs9'],Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,946,,,Guatemala
Sat Apr 21 20:35:08 +0000 2018,987791869215166464,"RT @SamsungChile: ¡La #MisiónEmoji ya está aquí! Para superar el primer desafío, solo debes adivinar a qué personaje de la serie del moment…",[u'SamsungChile'],[u'Misi\xf3nEmoji'],xCamilolx,Fuegiito[rlCamilolr],,809,132,2496,,,
Sat Apr 21 20:36:04 +0000 2018,987792105429925889,@Ronald_MacKay @Tigo_GT Yo me quiero llevar ese MEGA celular de @Tigo_GT y su #MegaFeriaTIGO  🇬🇹💙🇬🇹💙 #SamsungS9,"[u'Ronald_MacKay', u'Tigo_GT', u'Tigo_GT']","[u'MegaFeriaTIGO', u'SamsungS9']",Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,947,,,
Sat Apr 21 20:36:26 +0000 2018,987792197243334656,"@SamsungChile Lo quieroooo pliz ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10254,,,
Sat Apr 21 20:36:46 +0000 2018,987792277979484161,"@SamsungChile Que sea mio  ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10255,,,
Sat Apr 21 20:37:12 +0000 2018,987792390453956608,"@SamsungChile Quiero ser el afortunado ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10256,,,
Sat Apr 21 20:37:22 +0000 2018,987792432170487810,"@SamsungChile Vamos que se puede  ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10257,,,
Sat Apr 21 20:37:40 +0000 2018,987792504568401920,"@SamsungChile Pliz  yo lo quierooo  ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10258,,,
Sat Apr 21 20:37:49 +0000 2018,987792542182854656,"@SamsungChile Vamos  ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji 😍","[u'SamsungChile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10259,,,
Sat Apr 21 20:38:00 +0000 2018,987792589121343488,"@SamsungChile Mio quiero que sea mio  ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10260,,,
Sat Apr 21 20:38:12 +0000 2018,987792640145051648,"@SamsungChile Lo quiero  ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10261,,,
Sat Apr 21 20:38:28 +0000 2018,987792709506215936,"RT @w_samsung: Having a great time with the @sprint team at Hilliard Mill Run at their #justforyou event! Come on down for food, fun, music…","[u'w_samsung', u'sprint']",[u'justforyou'],samsungcbus,Sam Sung,"Columbus, OH",52,10,5,,,
Sat Apr 21 20:39:00 +0000 2018,987792843925262336,"RT @SamsungMobileCO: Si pudieras tener el nuevo Samsung #GalaxyS9, ¿con qué color te quedarías? ¡Cuéntanos! #CamaraReimaginada https://t.co…",[u'SamsungMobileCO'],"[u'GalaxyS9', u'CamaraReimaginada']",DRCortes_,Daniela / #SM3 🇨🇴,Hogwarts.,648,385,11980,,,
Sat Apr 21 20:39:16 +0000 2018,987792907661963264,IN FOCUS: The #SAMSUNG Galaxy S9 and S9+’s Super-Slow Mo https://t.co/hKfypeaHkc #galaxys9 #galaxys9,,"[u'SAMSUNG', u'galaxys9', u'galaxys9']",BenteUnodotcom,Benteuno.com,"Manila, Philippines",893,449,9434,,,
Sat Apr 21 20:39:17 +0000 2018,987792912023998464,"@SamsungChile Deseo  que seo mio  ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10262,,,
Sat Apr 21 20:40:23 +0000 2018,987793190265741315,@Ronald_MacKay @Tigo_GT Por favor por favor!! 🙏🏽🙏🏽😍😍 quiero ese hermoso #SamsungS9 😍💙 amo  @Tigo_GT y quiero contin… https://t.co/MT9ow26REm,"[u'Ronald_MacKay', u'Tigo_GT', u'Tigo_GT']",[u'SamsungS9'],Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,950,,,Guatemala
Sat Apr 21 20:41:09 +0000 2018,987793382226513920,"RT @SamsungChile: ¡La #MisiónEmoji ya está aquí! Para superar el primer desafío, solo debes adivinar a qué personaje de la serie del moment…",[u'SamsungChile'],[u'Misi\xf3nEmoji'],pachecoski,Jano Pacheco,La Canal,769,391,1929,,,
Sat Apr 21 20:43:15 +0000 2018,987793910700429312,Me encantaaa!!! Es HELSINKI de La Casa de Papeel 😍😍😍 por fa quiero ganaaar!! Yo también quiero tener mi emoji como… https://t.co/aLBsLnVzqm,,,heybarbiii,Bárbara Araya,chile,855,242,2852,,,
Sat Apr 21 20:43:24 +0000 2018,987793949468381184,"RT @SamsungChile: ¡La #MisiónEmoji ya está aquí! Para superar el primer desafío, solo debes adivinar a qué personaje de la serie del moment…",[u'SamsungChile'],[u'Misi\xf3nEmoji'],Ivangelical_,✞Ivangelic✞,"Viña del Mar, Chile",299,32,1007,,,
Sat Apr 21 20:43:48 +0000 2018,987794048533585920,@SamsungChile #GalaxyS9☝️ ❤️ 9⃣ acaso no tengo razon,[u'SamsungChile'],[u'GalaxyS9'],clifford_meri,김은비,Chile,2110,761,4828,,,
Sat Apr 21 20:44:27 +0000 2018,987794213919223808,Me encantaaa!!! Es HELSINKI de La Casa de Papeel 😍😍😍 por fa quiero ganaaar!! Yo también quiero tener mi emoji como… https://t.co/IKimtVCEOz,,,heybarbiii,Bárbara Araya,chile,855,242,2853,,,
Sat Apr 21 20:44:55 +0000 2018,987794330755784706,RT @Samsung_Peru: La exploración inteligente del #GalaxyS9 brinda una nueva tecnología que combina el reconocimiento de la cara y el escane…,[u'Samsung_Peru'],[u'GalaxyS9'],SpaceyRan,Spacey Random,"Laredo, Peru",145,123,17476,,,
Sat Apr 21 20:45:14 +0000 2018,987794409923252224,Me encantaaa!!! Es HELSINKI de La Casa de Papeel 😍😍😍 por fa quiero ganaaar!!quiero ganaaar!! Yo también quiero tene… https://t.co/4p72lLCpde,,,heybarbiii,Bárbara Araya,chile,855,242,2854,,,
Sat Apr 21 20:45:46 +0000 2018,987794546934284288,Me encantaaa!!! Es HELSINKI de La Casa de Papeel 😍😍 por fa quiero ganaaar!! Yo también quiero tener mi emoji como H… https://t.co/JPGpH5thZd,,,heybarbiii,Bárbara Araya,chile,855,242,2855,,,
Sat Apr 21 20:46:37 +0000 2018,987794758046273537,RT @samsungmobileng: Fast performance? Without a doubt! The #GalaxyS9 has a powerful mobile processor and RAM combination and this makes al…,[u'samsungmobileng'],[u'GalaxyS9'],victorkuteb,victor,"Jalingo, Nigeria",56,43,670,,,
Sat Apr 21 20:47:02 +0000 2018,987794863830765568,"RT @samsungmobileng: Super Slow-mo by @BankyW shot on the Samsung Galaxy S9+. 

#ShotOnMyGalaxyNG #GalaxyS9PlusNG #DoWhatYouCantNG https://…","[u'samsungmobileng', u'BankyW']","[u'ShotOnMyGalaxyNG', u'GalaxyS9PlusNG', u'DoWhatYouCantNG']",victorkuteb,victor,"Jalingo, Nigeria",56,43,674,,,
Sat Apr 21 20:47:08 +0000 2018,987794888690413568,RT @samsungmobileng: Trade in any of your old devices for the new Galaxy S9|S9+ in select Samsung Experience Store. Contact @RifugioNigeria…,"[u'samsungmobileng', u'RifugioNigeria']",,victorkuteb,victor,"Jalingo, Nigeria",56,43,676,,,
Sat Apr 21 20:47:11 +0000 2018,987794901277511680,RT @samsungmobileng: Your night-time memories will never go unnoticed anymore. Get perfect lighting anytime with the Super Low Light on you…,[u'samsungmobileng'],,victorkuteb,victor,"Jalingo, Nigeria",56,43,677,,,
Sat Apr 21 20:47:16 +0000 2018,987794924262363141,"RT @samsungmobileng: Launching the Galaxy S9 and S9 officially in Nigeria today at the Samsung Experience Store, Ikeja City Mall #TheCamera…",[u'samsungmobileng'],,victorkuteb,victor,"Jalingo, Nigeria",56,43,678,,,
Sat Apr 21 20:47:18 +0000 2018,987794931266748416,"RT @samsungmobileng: Rain or shine, keep your spirits high with the remarkably water-resistant #GalaxyS9 https://t.co/vU5z9L6uPt https://t.…",[u'samsungmobileng'],[u'GalaxyS9'],victorkuteb,victor,"Jalingo, Nigeria",56,43,679,,,
Sat Apr 21 20:47:22 +0000 2018,987794945858826241,"RT @samsungmobileng: Rain or shine, keep your spirits high with the remarkably water-resistant #GalaxyS9. Learn more: https://t.co/4eagDmYw…",[u'samsungmobileng'],[u'GalaxyS9'],victorkuteb,victor,"Jalingo, Nigeria",56,43,680,,,
Sat Apr 21 20:47:28 +0000 2018,987794972496859142,RT @samsungmobileng: There's no need for FOMO when you've got Super Slow-mo. Slow down and make the most of your vacation with 960FPS on th…,[u'samsungmobileng'],,victorkuteb,victor,"Jalingo, Nigeria",56,43,682,,,
Sat Apr 21 20:47:40 +0000 2018,987795024480960512,"RT @samsungmobileng: Less than 2 hours to go!
Pre-order your Galaxy S9 or S9+ from 1st–15th March 2018 and receive a free wireless charger…",[u'samsungmobileng'],,victorkuteb,victor,"Jalingo, Nigeria",56,43,685,,,
Sat Apr 21 20:47:53 +0000 2018,987795075693514752,"RT @samsungmobileng: 1 Day to Go!!!
Pre-order your Galaxy S9 or S9+ from 1st–15th March 2018 and receive a free wireless charger stand wort…",[u'samsungmobileng'],,victorkuteb,victor,"Jalingo, Nigeria",56,43,687,,,
Sat Apr 21 20:48:08 +0000 2018,987795142013792256,"RT @samsungmobileng: 3 Days to Go!!!
Pre-order your Galaxy S9 or S9+ from 1st–15th March 2018 and receive a free wireless charger stand wor…",[u'samsungmobileng'],,victorkuteb,victor,"Jalingo, Nigeria",56,43,691,,,
Sat Apr 21 20:48:10 +0000 2018,987795148116516864,"RT @samsungmobileng: Night-time, daytime, anytime – capture stunning pictures with the Dual Aperture camera on the #GalaxyS9.
https://t.co/…",[u'samsungmobileng'],[u'GalaxyS9'],victorkuteb,victor,"Jalingo, Nigeria",56,43,692,,,
Sat Apr 21 20:48:21 +0000 2018,987795195663142914,@Ronald_MacKay @Tigo_GT No tienen idea de cuánto deseo tener ese celular 😭😭😭 #samsungS9 #MegaFeriaTIGO 💙🇬🇹🙏🏽💙🔥,"[u'Ronald_MacKay', u'Tigo_GT']","[u'samsungS9', u'MegaFeriaTIGO']",Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,954,,,
Sat Apr 21 20:48:23 +0000 2018,987795203762413568,RT @samsungmobileng: The new #GalaxyS9. Designed to astonish. Built to perform. All around a powerful camera. Learn more https://t.co/vxvtk…,[u'samsungmobileng'],[u'GalaxyS9'],victorkuteb,victor,"Jalingo, Nigeria",56,43,696,,,
Sat Apr 21 20:48:53 +0000 2018,987795328198955008,RT @samsungmobileng: A furball in play mode is cute. But nothing captures your pet's antics like the Super Slow-mo mode on the new #GalaxyS…,[u'samsungmobileng'],,victorkuteb,victor,"Jalingo, Nigeria",56,43,697,,,
